curve_id,normal_stress_mpa,step_idx,time_s,shear_displacement_mm,dilation_proxy_mm,raw_shear_load_kn,shifted_shear_load_kn,calibrated_shear_stress_mpa
direct_shear_full_1MPa,1.0,27,2.7,-0.03300000000000036,-0.033,-0.375,0.4849999999999999,0.01287757314660558
direct_shear_full_1MPa,1.0,28,2.8,-0.03200000000000003,-0.032,-0.4,0.45999999999999996,0.01221378071636818
direct_shear_full_1MPa,1.0,29,2.9,-0.03300000000000036,-0.033,-0.422,0.43799999999999994,0.011629643377759267
direct_shear_full_1MPa,1.0,30,3.0,-0.034000000000000696,-0.034,-0.444,0.4159999999999999,0.011045506039150353
direct_shear_full_1MPa,1.0,31,3.1,-0.03699999999999992,-0.037,-0.462,0.3979999999999999,0.010567575489379425
direct_shear_full_1MPa,1.0,32,3.2,-0.03699999999999992,-0.037,-0.491,0.3689999999999998,0.009797576270304035
direct_shear_full_1MPa,1.0,33,3.3,-0.03699999999999992,-0.037,-0.502,0.3579999999999999,0.009505507600999582
direct_shear_full_1MPa,1.0,34,3.4,-0.03900000000000059,-0.039,-0.529,0.33099999999999996,0.008788611776343191
direct_shear_full_1MPa,1.0,35,3.5,-0.0420000000000007,-0.042,-0.557,0.30299999999999994,0.0080451642544773
direct_shear_full_1MPa,1.0,36,3.6,-0.040000000000000036,-0.04,-0.573,0.2869999999999999,0.007620337099125364
direct_shear_full_1MPa,1.0,37,3.7,-0.0420000000000007,-0.042,-0.6,0.2599999999999998,0.006903441274468967
direct_shear_full_1MPa,1.0,38,3.8,-0.04400000000000048,-0.044,-0.624,0.23599999999999977,0.006266200541441061
direct_shear_full_1MPa,1.0,39,3.9,-0.04300000000000015,-0.043,-0.625,0.23499999999999988,0.006239648844231568
direct_shear_full_1MPa,1.0,40,4.0,-0.04400000000000048,-0.044,-0.639,0.22099999999999986,0.005867925083298623
direct_shear_full_1MPa,1.0,41,4.0,-0.04600000000000026,-0.046,-0.642,0.21799999999999997,0.005788269991670138
direct_shear_full_1MPa,1.0,42,4.1,-0.0470000000000006,-0.047,-0.656,0.20399999999999974,0.005416546230737187
direct_shear_full_1MPa,1.0,43,4.2,-0.04600000000000026,-0.046,-0.667,0.19299999999999984,0.005124477561432733
direct_shear_full_1MPa,1.0,44,4.3,-0.04800000000000004,-0.048,-0.683,0.17699999999999982,0.004699650406080796
direct_shear_full_1MPa,1.0,45,4.4,-0.051000000000000156,-0.051,-0.705,0.1549999999999998,0.004115513067471883
direct_shear_full_1MPa,1.0,46,4.5,-0.04800000000000004,-0.048,-0.729,0.13099999999999978,0.0034782723344439766
direct_shear_full_1MPa,1.0,47,4.6,-0.04900000000000038,-0.049,-0.74,0.11999999999999966,0.0031862036651395167
direct_shear_full_1MPa,1.0,48,4.7,-0.05200000000000049,-0.052,-0.757,0.10299999999999976,0.0027348248125780867
direct_shear_full_1MPa,1.0,49,4.8,-0.051000000000000156,-0.051,-0.759,0.10099999999999998,0.0026817214181591004
direct_shear_full_1MPa,1.0,50,4.9,-0.05200000000000049,-0.052,-0.77,0.08999999999999986,0.0023896527488546405
direct_shear_full_1MPa,1.0,51,5.0,-0.055000000000000604,-0.055,-0.772,0.08799999999999963,0.0023365493544356426
