dataset,model,feature,sample_id,feature_value,prediction
rockmb_2025,ResidualPeriodicMonotone,normal_stress_mpa,1,5.551020408163265,3.2756872177124023
rockmb_2025,ResidualPeriodicMonotone,normal_stress_mpa,1,5.704081632653061,3.0519003868103027
rockmb_2025,ResidualPeriodicMonotone,normal_stress_mpa,1,5.857142857142858,3.0741498470306396
rockmb_2025,ResidualPeriodicMonotone,normal_stress_mpa,1,6.010204081632653,3.050708532333374
rockmb_2025,ResidualPeriodicMonotone,normal_stress_mpa,1,6.163265306122449,3.414501428604126
rockmb_2025,ResidualPeriodicMonotone,normal_stress_mpa,1,6.316326530612245,3.2379703521728516
rockmb_2025,ResidualPeriodicMonotone,normal_stress_mpa,1,6.469387755102041,3.317896604537964
rockmb_2025,ResidualPeriodicMonotone,normal_stress_mpa,1,6.622448979591837,3.396557092666626
rockmb_2025,ResidualPeriodicMonotone,normal_stress_mpa,1,6.775510204081633,3.579838991165161
rockmb_2025,ResidualPeriodicMonotone,normal_stress_mpa,1,6.928571428571429,3.3811073303222656
rockmb_2025,ResidualPeriodicMonotone,normal_stress_mpa,1,7.081632653061225,3.3721463680267334
rockmb_2025,ResidualPeriodicMonotone,normal_stress_mpa,1,7.23469387755102,3.6080777645111084
rockmb_2025,ResidualPeriodicMonotone,normal_stress_mpa,1,7.387755102040816,3.5156848430633545
rockmb_2025,ResidualPeriodicMonotone,normal_stress_mpa,1,7.540816326530613,3.514962911605835
rockmb_2025,ResidualPeriodicMonotone,normal_stress_mpa,1,7.6938775510204085,3.623814582824707
rockmb_2025,ResidualPeriodicMonotone,normal_stress_mpa,1,7.846938775510204,3.602626323699951
rockmb_2025,ResidualPeriodicMonotone,normal_stress_mpa,1,8.0,3.6548142433166504
rockmb_2025,ResidualPeriodicMonotone,normal_stress_mpa,2,0.5,0.6438280344009399
rockmb_2025,ResidualPeriodicMonotone,normal_stress_mpa,2,0.653061224489796,0.8036421537399292
rockmb_2025,ResidualPeriodicMonotone,normal_stress_mpa,2,0.8061224489795918,0.9576213359832764
rockmb_2025,ResidualPeriodicMonotone,normal_stress_mpa,2,0.9591836734693877,1.1208020448684692
rockmb_2025,ResidualPeriodicMonotone,normal_stress_mpa,2,1.1122448979591837,1.2416702508926392
rockmb_2025,ResidualPeriodicMonotone,normal_stress_mpa,2,1.2653061224489797,1.3854879140853882
rockmb_2025,ResidualPeriodicMonotone,normal_stress_mpa,2,1.4183673469387754,1.548571228981018
rockmb_2025,ResidualPeriodicMonotone,normal_stress_mpa,2,1.5714285714285714,1.6602683067321777
rockmb_2025,ResidualPeriodicMonotone,normal_stress_mpa,2,1.7244897959183674,1.755502462387085
rockmb_2025,ResidualPeriodicMonotone,normal_stress_mpa,2,1.8775510204081634,1.8902740478515625
rockmb_2025,ResidualPeriodicMonotone,normal_stress_mpa,2,2.0306122448979593,2.0086569786071777
rockmb_2025,ResidualPeriodicMonotone,normal_stress_mpa,2,2.183673469387755,2.121242046356201
rockmb_2025,ResidualPeriodicMonotone,normal_stress_mpa,2,2.336734693877551,2.3138680458068848
rockmb_2025,ResidualPeriodicMonotone,normal_stress_mpa,2,2.489795918367347,2.3775229454040527
rockmb_2025,ResidualPeriodicMonotone,normal_stress_mpa,2,2.642857142857143,2.492313861846924
rockmb_2025,ResidualPeriodicMonotone,normal_stress_mpa,2,2.795918367346939,2.5224833488464355
rockmb_2025,ResidualPeriodicMonotone,normal_stress_mpa,2,2.9489795918367347,2.6472890377044678
rockmb_2025,ResidualPeriodicMonotone,normal_stress_mpa,2,3.1020408163265305,2.7741997241973877
rockmb_2025,ResidualPeriodicMonotone,normal_stress_mpa,2,3.2551020408163267,2.8723573684692383
rockmb_2025,ResidualPeriodicMonotone,normal_stress_mpa,2,3.4081632653061225,2.9895503520965576
rockmb_2025,ResidualPeriodicMonotone,normal_stress_mpa,2,3.5612244897959187,3.107741594314575
rockmb_2025,ResidualPeriodicMonotone,normal_stress_mpa,2,3.7142857142857144,3.167245864868164
rockmb_2025,ResidualPeriodicMonotone,normal_stress_mpa,2,3.86734693877551,3.2608137130737305
rockmb_2025,ResidualPeriodicMonotone,normal_stress_mpa,2,4.020408163265307,3.3818392753601074
rockmb_2025,ResidualPeriodicMonotone,normal_stress_mpa,2,4.173469387755102,3.46407151222229
rockmb_2025,ResidualPeriodicMonotone,normal_stress_mpa,2,4.326530612244898,3.567509412765503
rockmb_2025,ResidualPeriodicMonotone,normal_stress_mpa,2,4.479591836734694,3.6295790672302246
rockmb_2025,ResidualPeriodicMonotone,normal_stress_mpa,2,4.63265306122449,3.70951509475708
rockmb_2025,ResidualPeriodicMonotone,normal_stress_mpa,2,4.785714285714286,3.8079912662506104
rockmb_2025,ResidualPeriodicMonotone,normal_stress_mpa,2,4.938775510204081,3.904921293258667
rockmb_2025,ResidualPeriodicMonotone,normal_stress_mpa,2,5.091836734693878,4.004854679107666
rockmb_2025,ResidualPeriodicMonotone,normal_stress_mpa,2,5.244897959183674,4.1253156661987305
rockmb_2025,ResidualPeriodicMonotone,normal_stress_mpa,2,5.3979591836734695,4.217523097991943
rockmb_2025,ResidualPeriodicMonotone,normal_stress_mpa,2,5.551020408163265,4.2391791343688965
rockmb_2025,ResidualPeriodicMonotone,normal_stress_mpa,2,5.704081632653061,4.229848384857178
rockmb_2025,ResidualPeriodicMonotone,normal_stress_mpa,2,5.857142857142858,4.405389785766602
rockmb_2025,ResidualPeriodicMonotone,normal_stress_mpa,2,6.010204081632653,4.521214485168457
rockmb_2025,ResidualPeriodicMonotone,normal_stress_mpa,2,6.163265306122449,4.585762977600098
rockmb_2025,ResidualPeriodicMonotone,normal_stress_mpa,2,6.316326530612245,4.719589710235596
rockmb_2025,ResidualPeriodicMonotone,normal_stress_mpa,2,6.469387755102041,4.656703472137451
rockmb_2025,ResidualPeriodicMonotone,normal_stress_mpa,2,6.622448979591837,4.837474346160889
rockmb_2025,ResidualPeriodicMonotone,normal_stress_mpa,2,6.775510204081633,4.905917644500732
rockmb_2025,ResidualPeriodicMonotone,normal_stress_mpa,2,6.928571428571429,4.97411584854126
rockmb_2025,ResidualPeriodicMonotone,normal_stress_mpa,2,7.081632653061225,4.963183879852295
rockmb_2025,ResidualPeriodicMonotone,normal_stress_mpa,2,7.23469387755102,5.2167463302612305
rockmb_2025,ResidualPeriodicMonotone,normal_stress_mpa,2,7.387755102040816,5.038966178894043
rockmb_2025,ResidualPeriodicMonotone,normal_stress_mpa,2,7.540816326530613,5.275959491729736
rockmb_2025,ResidualPeriodicMonotone,normal_stress_mpa,2,7.6938775510204085,5.2704668045043945
rockmb_2025,ResidualPeriodicMonotone,normal_stress_mpa,2,7.846938775510204,5.31810188293457
rockmb_2025,ResidualPeriodicMonotone,normal_stress_mpa,2,8.0,5.6269426345825195
rockmb_2025,ResidualPeriodicMonotone,normal_stress_mpa,3,0.5,1.5652811527252197
rockmb_2025,ResidualPeriodicMonotone,normal_stress_mpa,3,0.653061224489796,2.0308990478515625
rockmb_2025,ResidualPeriodicMonotone,normal_stress_mpa,3,0.8061224489795918,2.4044480323791504
rockmb_2025,ResidualPeriodicMonotone,normal_stress_mpa,3,0.9591836734693877,2.8298473358154297
rockmb_2025,ResidualPeriodicMonotone,normal_stress_mpa,3,1.1122448979591837,3.1634573936462402
rockmb_2025,ResidualPeriodicMonotone,normal_stress_mpa,3,1.2653061224489797,3.438201665878296
rockmb_2025,ResidualPeriodicMonotone,normal_stress_mpa,3,1.4183673469387754,3.8093740940093994
rockmb_2025,ResidualPeriodicMonotone,normal_stress_mpa,3,1.5714285714285714,4.09902811050415
rockmb_2025,ResidualPeriodicMonotone,normal_stress_mpa,3,1.7244897959183674,4.5144805908203125
rockmb_2025,ResidualPeriodicMonotone,normal_stress_mpa,3,1.8775510204081634,4.677392482757568
rockmb_2025,ResidualPeriodicMonotone,normal_stress_mpa,3,2.0306122448979593,4.926089286804199
rockmb_2025,ResidualPeriodicMonotone,normal_stress_mpa,3,2.183673469387755,5.199424743652344
rockmb_2025,ResidualPeriodicMonotone,normal_stress_mpa,3,2.336734693877551,5.482053756713867
rockmb_2025,ResidualPeriodicMonotone,normal_stress_mpa,3,2.489795918367347,5.763768672943115
rockmb_2025,ResidualPeriodicMonotone,normal_stress_mpa,3,2.642857142857143,6.0146613121032715
rockmb_2025,ResidualPeriodicMonotone,normal_stress_mpa,3,2.795918367346939,6.259535789489746
rockmb_2025,ResidualPeriodicMonotone,normal_stress_mpa,3,2.9489795918367347,6.4937310218811035
rockmb_2025,ResidualPeriodicMonotone,normal_stress_mpa,3,3.1020408163265305,6.774470329284668
rockmb_2025,ResidualPeriodicMonotone,normal_stress_mpa,3,3.2551020408163267,6.968081474304199
rockmb_2025,ResidualPeriodicMonotone,normal_stress_mpa,3,3.4081632653061225,7.145028591156006
rockmb_2025,ResidualPeriodicMonotone,normal_stress_mpa,3,3.5612244897959187,7.363441467285156
rockmb_2025,ResidualPeriodicMonotone,normal_stress_mpa,3,3.7142857142857144,7.596039295196533
rockmb_2025,ResidualPeriodicMonotone,normal_stress_mpa,3,3.86734693877551,7.806726455688477
rockmb_2025,ResidualPeriodicMonotone,normal_stress_mpa,3,4.020408163265307,8.120586395263672
rockmb_2025,ResidualPeriodicMonotone,normal_stress_mpa,3,4.173469387755102,8.068787574768066
rockmb_2025,ResidualPeriodicMonotone,normal_stress_mpa,3,4.326530612244898,8.34072494506836
rockmb_2025,ResidualPeriodicMonotone,normal_stress_mpa,3,4.479591836734694,8.544646263122559
rockmb_2025,ResidualPeriodicMonotone,normal_stress_mpa,3,4.63265306122449,8.706337928771973
rockmb_2025,ResidualPeriodicMonotone,normal_stress_mpa,3,4.785714285714286,8.846126556396484
rockmb_2025,ResidualPeriodicMonotone,normal_stress_mpa,3,4.938775510204081,9.114473342895508
rockmb_2025,ResidualPeriodicMonotone,normal_stress_mpa,3,5.091836734693878,9.037825584411621
rockmb_2025,ResidualPeriodicMonotone,normal_stress_mpa,3,5.244897959183674,9.494173049926758
rockmb_2025,ResidualPeriodicMonotone,normal_stress_mpa,3,5.3979591836734695,9.558817863464355
rockmb_2025,ResidualPeriodicMonotone,normal_stress_mpa,3,5.551020408163265,9.682891845703125
rockmb_2025,ResidualPeriodicMonotone,normal_stress_mpa,3,5.704081632653061,9.854694366455078
rockmb_2025,ResidualPeriodicMonotone,normal_stress_mpa,3,5.857142857142858,10.07149887084961
rockmb_2025,ResidualPeriodicMonotone,normal_stress_mpa,3,6.010204081632653,10.11691951751709
rockmb_2025,ResidualPeriodicMonotone,normal_stress_mpa,3,6.163265306122449,10.346287727355957
rockmb_2025,ResidualPeriodicMonotone,normal_stress_mpa,3,6.316326530612245,10.687782287597656
rockmb_2025,ResidualPeriodicMonotone,normal_stress_mpa,3,6.469387755102041,10.616264343261719
rockmb_2025,ResidualPeriodicMonotone,normal_stress_mpa,3,6.622448979591837,10.72021198272705
rockmb_2025,ResidualPeriodicMonotone,normal_stress_mpa,3,6.775510204081633,10.813587188720703
rockmb_2025,ResidualPeriodicMonotone,normal_stress_mpa,3,6.928571428571429,11.087837219238281
rockmb_2025,ResidualPeriodicMonotone,normal_stress_mpa,3,7.081632653061225,11.149727821350098
rockmb_2025,ResidualPeriodicMonotone,normal_stress_mpa,3,7.23469387755102,11.530426025390625
rockmb_2025,ResidualPeriodicMonotone,normal_stress_mpa,3,7.387755102040816,11.47409439086914
rockmb_2025,ResidualPeriodicMonotone,normal_stress_mpa,3,7.540816326530613,11.647601127624512
rockmb_2025,ResidualPeriodicMonotone,normal_stress_mpa,3,7.6938775510204085,11.776918411254883
rockmb_2025,ResidualPeriodicMonotone,normal_stress_mpa,3,7.846938775510204,11.893538475036621
rockmb_2025,ResidualPeriodicMonotone,normal_stress_mpa,3,8.0,12.036734580993652
rockmb_2025,ResidualPeriodicMonotone,normal_stress_mpa,4,0.5,0.5473893880844116
rockmb_2025,ResidualPeriodicMonotone,normal_stress_mpa,4,0.653061224489796,0.7075756192207336
rockmb_2025,ResidualPeriodicMonotone,normal_stress_mpa,4,0.8061224489795918,0.8298253417015076
rockmb_2025,ResidualPeriodicMonotone,normal_stress_mpa,4,0.9591836734693877,0.9611628651618958
rockmb_2025,ResidualPeriodicMonotone,normal_stress_mpa,4,1.1122448979591837,1.0779775381088257
rockmb_2025,ResidualPeriodicMonotone,normal_stress_mpa,4,1.2653061224489797,1.2081876993179321
rockmb_2025,ResidualPeriodicMonotone,normal_stress_mpa,4,1.4183673469387754,1.3311437368392944
rockmb_2025,ResidualPeriodicMonotone,normal_stress_mpa,4,1.5714285714285714,1.432603359222412
rockmb_2025,ResidualPeriodicMonotone,normal_stress_mpa,4,1.7244897959183674,1.5617071390151978
rockmb_2025,ResidualPeriodicMonotone,normal_stress_mpa,4,1.8775510204081634,1.6575384140014648
rockmb_2025,ResidualPeriodicMonotone,normal_stress_mpa,4,2.0306122448979593,1.7324503660202026
rockmb_2025,ResidualPeriodicMonotone,normal_stress_mpa,4,2.183673469387755,1.8872178792953491
rockmb_2025,ResidualPeriodicMonotone,normal_stress_mpa,4,2.336734693877551,1.9294943809509277
rockmb_2025,ResidualPeriodicMonotone,normal_stress_mpa,4,2.489795918367347,2.077150821685791
rockmb_2025,ResidualPeriodicMonotone,normal_stress_mpa,4,2.642857142857143,2.1739261150360107
